date,event_id,event_name,months_from_event,CAR
2021-08-01,4141.0,National AI Initiative Office Launches AI Researchers Portal,-5.0,
2021-09-01,4141.0,National AI Initiative Office Launches AI Researchers Portal,-4.0,
2021-10-01,4236.0,The U.S.-China Trade Relationship,-5.0,
2021-11-01,4236.0,The U.S.-China Trade Relationship,-4.0,
2021-12-01,4236.0,The U.S.-China Trade Relationship,-3.0,
2022-01-01,4236.0,The U.S.-China Trade Relationship,-2.0,
2022-02-01,4236.0,The U.S.-China Trade Relationship,-1.0,
2022-03-01,4236.0,The U.S.-China Trade Relationship,-0.0,
2022-04-01,4237.0,AI & Tech Summit 2025,-6.0,
2022-05-01,4237.0,AI & Tech Summit 2025,-5.0,
2022-06-01,4237.0,AI & Tech Summit 2025,-4.0,
2022-07-01,4237.0,AI & Tech Summit 2025,-3.0,
2022-08-01,4237.0,AI & Tech Summit 2025,-2.0,
2022-09-01,4237.0,AI & Tech Summit 2025,-1.0,
2022-10-01,4237.0,AI & Tech Summit 2025,0.0,
2022-11-01,4237.0,AI & Tech Summit 2025,1.0,
2022-12-01,4237.0,AI & Tech Summit 2025,2.0,
2023-01-01,4237.0,AI & Tech Summit 2025,3.0,
2023-02-01,4370.0,See how the Middle East is people-powering the digital revolution,-6.0,
2023-03-01,4370.0,See how the Middle East is people-powering the digital revolution,-5.0,
2023-04-01,4370.0,See how the Middle East is people-powering the digital revolution,-4.0,
2023-05-01,4370.0,See how the Middle East is people-powering the digital revolution,-3.0,
2023-06-01,4370.0,See how the Middle East is people-powering the digital revolution,-2.0,
2023-07-01,4370.0,See how the Middle East is people-powering the digital revolution,-1.0,
2023-08-01,4370.0,See how the Middle East is people-powering the digital revolution,0.0,0.0
2023-09-01,4370.0,See how the Middle East is people-powering the digital revolution,1.0,-17.71915800692778
2023-10-01,4370.0,See how the Middle East is people-powering the digital revolution,2.0,-10.951023291901894
2023-11-01,4370.0,See how the Middle East is people-powering the digital revolution,3.0,2.0001444363359173
2023-12-01,4370.0,See how the Middle East is people-powering the digital revolution,4.0,-15.185677260763983
2024-01-01,4370.0,See how the Middle East is people-powering the digital revolution,5.0,7.7066703397548135
2024-02-01,4267.0,Rishi Sunak says AI has threats and risks - but outlines its potential,3.0,7.783641160949872
2024-03-01,4267.0,Rishi Sunak says AI has threats and risks - but outlines its potential,4.0,11.308732960215462
2024-04-01,4267.0,Rishi Sunak says AI has threats and risks - but outlines its potential,5.0,19.27751990748432
2024-05-01,4365.0,Beyond oil: Google’s big bet on Saudi Arabia’s AI future,-6.0,-16.2724485326325
2024-06-01,4368.0,"'ACDC,' 'T2K,' and the Middle East: Leaked documents reveal Amazon's top cloud growth initiatives",-6.0,6.539366989275441
2024-07-01,4369.0,Saudi Arabia allocates $453m for 2024–2025 sports initiatives,-5.0,-2.3569850233243206
2024-08-01,4369.0,Saudi Arabia allocates $453m for 2024–2025 sports initiatives,-4.0,18.0101258642794
2024-09-01,4369.0,Saudi Arabia allocates $453m for 2024–2025 sports initiatives,-3.0,9.361703052497479
2024-10-01,4369.0,Saudi Arabia allocates $453m for 2024–2025 sports initiatives,-2.0,-3.901502984548026
2024-11-01,4369.0,Saudi Arabia allocates $453m for 2024–2025 sports initiatives,-1.0,-3.901502984548026
2024-12-01,4369.0,Saudi Arabia allocates $453m for 2024–2025 sports initiatives,-0.0,35.30229348262835
2025-01-01,4369.0,Saudi Arabia allocates $453m for 2024–2025 sports initiatives,1.0,35.30229348262835
2025-02-01,4369.0,Saudi Arabia allocates $453m for 2024–2025 sports initiatives,2.0,35.30229348262835
2025-03-01,4369.0,Saudi Arabia allocates $453m for 2024–2025 sports initiatives,3.0,35.30229348262835
2025-04-01,4369.0,Saudi Arabia allocates $453m for 2024–2025 sports initiatives,4.0,35.30229348262835
2025-05-01,4369.0,Saudi Arabia allocates $453m for 2024–2025 sports initiatives,5.0,35.30229348262835
2025-06-01,4369.0,Saudi Arabia allocates $453m for 2024–2025 sports initiatives,6.0,35.30229348262835
2025-07-01,4367.0,Saudi Arabia attracts $14.9 billion investments in AI as LEAP25 kicks off in Riyadh,5.0,0.0
2025-08-01,4367.0,Saudi Arabia attracts $14.9 billion investments in AI as LEAP25 kicks off in Riyadh,6.0,0.0
2025-09-01,4364.0,"Dubai AI Week 2025: UAE ranks among top emerging economies in AI readiness, says BCG",4.0,0.0
2025-10-01,4364.0,"Dubai AI Week 2025: UAE ranks among top emerging economies in AI readiness, says BCG",5.0,0.0
