year_month,total_submissions
2022-01,2793
2022-02,3606
2022-03,3750
2022-04,3070
2022-05,4153
2022-06,4265
2022-07,3323
2022-08,2833
2022-09,3431
2022-10,4997
2022-11,4123
2022-12,3178
2023-01,3017
2023-02,4120
2023-03,4359
2023-04,3546
2023-05,5815
2023-06,5099
2023-07,4098
2023-08,4159
2023-09,4486
2023-10,6279
2023-11,5008
2023-12,4878
2024-01,4403
2024-02,6725
2024-03,5745
2024-04,5195
2024-05,6595
2024-06,7036
2024-07,5602
2024-08,4935
2024-09,5609
2024-10,8642
2024-11,5901
2024-12,6409
2025-01,5485
2025-02,8092
2025-03,7081
2025-04,6039
2025-05,9852
2025-06,7949
2025-07,6881
2025-08,7163
2025-09,8412
