date,year_month,nvda_price,nvda_volume
2022-01-31,2022-01,244.86,1067591645
2022-02-28,2022-02,243.85,1064192509
2022-03-31,2022-03,272.86,1163311421
2022-04-29,2022-04,185.47,1109910745
2022-05-31,2022-05,186.72,1383046898
2022-06-30,2022-06,151.59,1055676405
2022-07-29,2022-07,181.63,1056635538
2022-08-31,2022-08,150.94,1206915173
2022-09-30,2022-09,121.39,1312616395
2022-10-31,2022-10,134.97,1255185787
2022-11-30,2022-11,169.23,1060101416
2022-12-30,2022-12,146.14,894615121
2023-01-31,2023-01,195.37,945495814
2023-02-28,2023-02,232.16,1039409020
2023-03-31,2023-03,277.77,1126657651
2023-04-28,2023-04,277.49,742662535
2023-05-31,2023-05,378.34,1169406527
2023-06-30,2023-06,423.02,1052802408
2023-07-31,2023-07,467.29,870901174
2023-08-31,2023-08,493.55,1363638357
2023-09-29,2023-09,434.99,858010319
2023-10-31,2023-10,407.8,1014241343
2023-11-30,2023-11,467.7,914975019
2023-12-29,2023-12,495.22,739627720
2024-01-31,2024-01,615.27,969880029
2024-02-29,2024-02,791.12,1107789923
2024-03-28,2024-03,903.56,1210961732
2024-04-30,2024-04,864.02,1004973847
2024-05-31,2024-05,1096.33,964797076
2024-06-28,2024-06,123.54,5234031077
2024-07-31,2024-07,117.02,6407092755
2024-08-30,2024-08,119.37,8105367559
2024-09-30,2024-09,121.44,6268619540
2024-10-31,2024-10,132.76,5628704792
2024-11-29,2024-11,138.25,4498075137
2024-12-31,2024-12,134.29,4086168557
2025-01-31,2025-01,120.07,5950612536
2025-02-28,2025-02,124.92,4756110221
2025-03-31,2025-03,108.38,6175538770
2025-04-30,2025-04,108.92,6811006433
2025-05-30,2025-05,135.13,4759246184
2025-06-30,2025-06,157.99,3822309699
2025-07-31,2025-07,177.87,3596804483
2025-08-29,2025-08,174.18,3609134562
2025-09-30,2025-09,186.58,3887536545
2025-10-31,2025-10,202.49,4031017222
